crew_name,stop_order,site_name,address,lat,lng,ward
UNASSIGNED,1,GIRARD ST SPRAY PARK,"1480 GIRARD STREET NW, Washington, DC",38.925239,-77.035095,1
UNASSIGNED,2,TRIANGLE PARK1,"TILDEN STREET AND RENO ROAD NW, Washington, DC",38.941147,-77.061971,3
UNASSIGNED,3,NEWARK STREET COMMUNITY GARDEN,"39TH STREET AND NEWARK STREET NW, Washington, DC",38.934891,-77.07275,3
UNASSIGNED,4,BISHOP LALOSSU MEMORIAL PARK,"MASSACHUSETTS AVENUE 36TH AND GARFIELD STREET NW, Washington, DC",38.927359,-77.072282,3
UNASSIGNED,5,47TH & UPTON ST NW,"47TH AND UPTON STREET NW, Washington, DC",38.942408,-77.092849,3
Lalo sidewalks,1,SPRING VALLEY PARK,"49TH STREET AND FORDHAM ROAD, Washington, DC",38.898544,-76.931864,3
Lalo sidewalks,2,"North Capitol and Madison, NW","North Capitol and Madison, NW, Washington, DC",38.894587,-77.00304,4
Lalo sidewalks,3,MASSACHUSETTS AVE & 50TH ST NW,"MASSACHUSETTS AVENUE AND 50TH STREET NW, Washington, DC",38.903143,-77.024092,3
Lalo sidewalks,4,MARVIN CAPLAN MEMORIAL PARK,"ALASKA AVENUE BETWEEN HOLLY AND 13TH STREET NW, Washington, DC",38.902358,-77.031954,4
Lalo sidewalks,5,W STREET PARK,"48TH AND W STREET NW, Washington, DC",38.902603,-77.041398,3
Edwin Gonzalez,1,4TH ST & BLAIR RD NW,"4TH STREET NW AND BLAIR ROAD NW, Washington, DC",38.957893,-77.009198,4
Edwin Gonzalez,2,8/9 Street & Longfellow/Madison NW,"5611-5613 9th St NW, Washington, DC",38.955744,-77.025727,4
Edwin Gonzalez,3,"Piney Branch Rd and Blair Rd, NW","Piney Branch Rd and Blair Rd, NW, Washington, DC",38.967513,-77.027978,4
Edwin Gonzalez,4,LUZON AVE & UNDERWOOD ST NW,"14TH  STREET NW AND LUZON AVENUE NW, Washington, DC",38.969497,-77.033511,4
Edwin Gonzalez,5,RENO RD & 39TH ST NW,"RENO ROAD 39TH AND JENIFER STREET NW, Washington, DC",38.959219,-77.07745,3
Antonio Rivera,1,GALEN TAIT MEMORIAL PARK,"WESTERN AVENUE NW AND ELLICOTT STREET NW, Washington, DC",38.82652,-77.01712,3
Antonio Rivera,2,LEGACY MEMORIAL PARK,"5801-, 5945 South Dakota Ave NE, Washington, DC",38.82652,-77.01712,4
Antonio Rivera,3,NEW HAMPSHIRE AVE 17TH & T ST NW,"NEW HAMPSHIRE AVENUE 17TH AND T STREET NW, Washington, DC",38.82652,-77.01712,2
Antonio Rivera,4,2nd St NW  &  North Dakota Ave NW(median),"2nd St NW  &  North Dakota Ave NW(median), Washington, DC",38.82652,-77.01712,4
Antonio Rivera,5,NEVADA AVE & BROADBRANCH RD NW,"NEVADA AVENUE CHAPEL AND BROADBRANCH ROAD NW, Washington, DC",38.82652,-77.01712,3
Ronal Caballero,1,ARKANSAS AVE & GEORGIA AVE NW,"ARKANSAS AVENUE FARRAGUT STREET, Washington, DC",38.82652,-77.01712,4
Ronal Caballero,2,UNITY PARK,"COLUMBIA  ROAD EUCLID STREET AND CHAPLAIN ST, Washington, DC",38.82652,-77.01712,1
Ronal Caballero,3,FORT RENO PARK,"CHESAPEAKE ST NW & BELT RD NW, Washington, DC",38.82652,-77.01712,3
Ronal Caballero,4,RENO RD & 38TH ST NW,"RENO 38TH STREET AND HUNTINGTON STREET NW, Washington, DC",38.82652,-77.01712,3
Ronal Caballero,5,4800 Reservoir Rd. NW - Mac Authur Blvd. NW,"4800 Reservoir Rd. NW - Mac Authur Blvd. NW, Washington, DC",38.82652,-77.01712,3
Juan Guzman,1,COMMUNITY PARK,"14TH ST NW & EUCLID ST NW, Washington, DC",38.82652,-77.01712,1
Juan Guzman,2,GLENBROOK RD & ROCKWOOD PKWY NW,"GLENBROOK ROAD NW AND ROCKWOOD PARKWAY NW, Washington, DC",38.82652,-77.01712,3
Juan Guzman,3,LORENZO LARRY ALLEN MEMORIAL PARK,"ILLINIOS AVENUE 9TH AND GALLATIN NW, Washington, DC",38.82652,-77.01712,4
Juan Guzman,4,TRIANGLE PARK ( BY POWELL REC),"16TH AND PARK ROAD AND LAMONT STREET, Washington, DC",38.82652,-77.01712,1
Juan Guzman,5,LAMONT PARK,"MT PLEASANT LAMONT AND 17TH STREET NW, Washington, DC",38.82652,-77.01712,1
Nery Gonzalez,1,GEORGIA AVENUE 9TH AND UPSHUR STREET NE(TP),"GEORGIA AVENUE 9TH AND UPSHUR STREET NE, Washington, DC",38.941764,-77.025095,4
Nery Gonzalez,2,TWIN OAKS GARDEN,"14TH STREET AND TAYLOR STREET NW, Washington, DC",38.941013,-77.033303,4
Nery Gonzalez,3,COLUMBIA HEIGHTS CIVIC PLAZA,"14TH STREET NW AND PARK ROAD NW, Washington, DC",38.9375,-77.0328,1
Nery Gonzalez,4,14TH & GIRARD NW,"14TH STREET NW AND GIRARD STREET NW, Washington, DC",38.925292,-77.032377,1
Nery Gonzalez,5,18TH AND HARVARD ST NW,"18TH STREET AND HARVARD STREET NW, Washington, DC",38.9268,-77.0322,1
Nery Gonzalez,1,Webster and Rock Creek Church NW,"Webster and Rock Creek Church NW, Washington, DC",38.902997,-77.049771,4
Nery Gonzalez,2,Upshur and Rock Creek Church NW,"Upshur and Rock Creek Church NW, Washington, DC",38.902997,-77.049771,4
Nery Gonzalez,3,FRANCIS POOL,"2435 N STREET NW, Washington, DC",38.90737,-77.053402,2
Nery Gonzalez,4,BOOK HILL PARK,"WISCONSIN AVENUE NW AND R STREET NW, Washington, DC",38.910504,-77.064873,2
Nery Gonzalez,5,Hurt Homes,"3050 R Street NW, Washington, DC",38.912808,-77.061868,2
Miguel Venancio,1,"590 Rock Creek Church Rd, NW","590 Rock Creek Church Rd, NW, Washington, DC",38.946823,-77.008654,4
Miguel Venancio,2,GAGE ECKINGTON DOG PARK,"286 V STREET NW, Washington, DC",38.918109,-77.011901,1
Miguel Venancio,3,ANNA J COOPER CIRCLE,"3RD STREET NW AND ANNA J COOPER CIR NW, Washington, DC",38.915918,-77.015507,1
Miguel Venancio,4,WESTMINSTER PLAYGROUND,"907 WESTMINSTER STREET NW, Washington, DC",38.91484,-77.02498,1
Miguel Venancio,5,907 WESTMINSTER ST NW (SLIVERS),"907 WESTMINSTER ST NW, Washington, DC",38.91484,-77.02498,1
Julian Ordonez,1,KALORAMA GARDEN,"KALORAMA ROAD AND COLUMBIA ROAD NW, Washington, DC",38.924096,-77.040789,1
Julian Ordonez,2,BILTMORE TRIANGLE GARDEN,"BILTMORE AND 20TH STREET NW, Washington, DC",38.923211,-77.047639,1
Julian Ordonez,3,18TH STREET NW AND KALORAMA ROAD NW,"18TH STREET NW AND KALORAMA ROAD NW, Washington, DC",38.919823,-77.042263,1
Julian Ordonez,4,NEW HAMPSHIRE AVE & NORTH CAPITOL ST NW,"NEW HAMPSHIRE AVENUE AND NORTH CAPITOL STREET NW, Washington, DC",38.91554,-77.03818,4
Julian Ordonez,5,Metro Memorial Park,"First Street and New Hampshire Ave, NE, Washington, DC",38.91554,-77.03818,4
